Initial Solid Degradable Fraction,Placement Dry Density,Placement Moisture Content,Maximum Hydrolysis Rate,Thermal Conductivity,Specific Heat Capacity,Injection Pressure,Injection Duration,Time,Methane Generation,Max Temp
36.4,653.7,43.5,2500,0.5,1649.6,0,0,8.636,78.75999713,70.378295
36.4,653.7,43.5,2500,0.5,1649.6,0,0,8.775,79.65373432,70.316529
36.4,653.7,43.5,2500,0.5,1649.6,0,0,8.914,80.51186131,70.239875
36.4,653.7,43.5,2500,0.5,1649.6,0,0,9.053,81.32015324,70.150787
36.4,653.7,43.5,2500,0.5,1649.6,0,0,9.193,82.0858526,70.052887
36.4,653.7,43.5,2500,0.5,1649.6,0,0,9.332,82.81511726,69.950639
36.4,653.7,43.5,2500,0.5,1649.6,0,0,9.471,83.54011325,69.843071
36.4,653.7,43.5,2500,0.5,1649.6,0,0,9.611,84.28131935,69.725349
36.4,653.7,43.5,2500,0.5,1649.6,0,0,9.75,85.00082892,69.594752
36.4,653.7,43.5,2500,0.5,1649.6,0,0,9.889,85.68365462,69.448599
36.4,653.7,43.5,2500,0.5,1649.6,0,0,10.028,86.31696545,69.289152
36.4,653.7,43.5,2500,0.5,1649.6,0,0,10.168,86.90576753,69.119583
36.4,653.7,43.5,2500,0.5,1649.6,0,0,10.307,87.45497093,68.948408
36.4,653.7,43.5,2500,0.5,1649.6,0,0,10.446,87.99459835,68.774409
36.4,653.7,43.5,2500,0.5,1649.6,0,0,10.585,88.54556885,68.593314
36.4,653.7,43.5,2500,0.5,1649.6,0,0,10.725,89.09652434,68.39857
36.4,653.7,43.5,2500,0.5,1649.6,0,0,10.864,89.61363873,68.190653
36.4,653.7,43.5,2500,0.5,1649.6,0,0,11.003,90.08783536,67.970339
36.4,653.7,43.5,2500,0.5,1649.6,0,0,11.143,90.52188697,67.74114
36.4,653.7,43.5,2500,0.5,1649.6,0,0,11.282,90.92415776,67.510652
36.4,653.7,43.5,2500,0.5,1649.6,0,0,11.421,91.31596503,67.278325
36.4,653.7,43.5,2500,0.5,1649.6,0,0,11.56,91.71969473,67.039994
36.4,653.7,43.5,2500,0.5,1649.6,0,0,11.7,92.1347645,66.788628
36.4,653.7,43.5,2500,0.5,1649.6,0,0,11.839,92.52987483,66.524266
36.4,653.7,43.5,2500,0.5,1649.6,0,0,11.978,92.89193955,66.250631
36.4,653.7,43.5,2500,0.5,1649.6,0,0,12.117,93.22208738,65.969097
36.4,653.7,43.5,2500,0.5,1649.6,0,0,12.257,93.53402585,65.683102
36.4,653.7,43.5,2500,0.5,1649.6,0,0,12.396,93.83574396,65.39962
36.4,653.7,43.5,2500,0.5,1649.6,0,0,12.535,94.14446643,65.116835
36.4,653.7,43.5,2500,0.5,1649.6,0,0,12.675,94.46946604,64.829214
36.4,653.7,43.5,2500,0.5,1649.6,0,0,12.814,94.78542402,64.538701
